ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Tumor epithelial,T cell,0.0759,1.7708,0.1344
SPP1,CD44,NK cell,T cell,0.0755,1.7708,0.1337
TNF,TNFRSF1A,Fibroblast,Myeloid/Macro,0.2258,0.5912,0.1335
TGFB1,TGFBR2,Unknown,Tumor epithelial,1.4415,0.0916,0.1321
TGFB1,TGFBR2,Fibroblast,Mast cell,0.6014,0.218,0.1311
VEGFA,KDR,Myeloid/Macro,Endothelial,0.7644,0.1706,0.1304
SPP1,CD44,Tumor epithelial,NK cell,0.0759,1.7125,0.1299
SPP1,CD44,Endothelial,B cell,0.0889,1.4617,0.1299
SPP1,CD44,Unknown,Fibroblast,0.1038,1.2495,0.1297
SPP1,CD44,NK cell,NK cell,0.0755,1.7125,0.1293
FAS,FASLG,Unknown,NK cell,0.4983,0.2589,0.129
TNF,TNFRSF1A,T cell,Endothelial,0.3328,0.3849,0.1281
SPP1,CD44,Mast cell,Fibroblast,0.1013,1.2495,0.1266
CXCL12,CXCR4,Endothelial,T cell,0.0569,2.2228,0.1265
TGFB1,TGFBR2,Tumor epithelial,Mast cell,0.5803,0.218,0.1265
VEGFA,FLT1,Myeloid/Macro,Myeloid/Macro,0.7644,0.1648,0.126
CCL5,CCR5,Endothelial,Dendritic cell,1.0562,0.1186,0.1252
CD274,PDCD1,Mast cell,T cell,0.2346,0.5323,0.1249
CXCL12,CXCR4,Endothelial,B cell,0.0569,2.1868,0.1245
SPP1,CD44,T cell,Mast cell,0.0489,2.5281,0.1236
TGFB1,TGFBR2,Fibroblast,Plasma cell,0.6014,0.2043,0.1229
TNF,TNFRSF1A,Fibroblast,Fibroblast,0.2258,0.5293,0.1195
CXCL12,CXCR4,Endothelial,NK cell,0.0569,2.0931,0.1191
TGFB1,TGFBR2,Tumor epithelial,Plasma cell,0.5803,0.2043,0.1186
SPP1,CD44,Tumor epithelial,Dendritic cell,0.0759,1.5537,0.1179
SPP1,CD44,NK cell,Dendritic cell,0.0755,1.5537,0.1173
SPP1,CD44,Unknown,Plasma cell,0.1038,1.129,0.1172
FAS,FASLG,T cell,NK cell,0.4454,0.2589,0.1153
SPP1,CD44,Mast cell,Plasma cell,0.1013,1.129,0.1144
SPP1,CD44,Fibroblast,Endothelial,0.1672,0.6842,0.1144
SPP1,CD44,Endothelial,Fibroblast,0.0889,1.2495,0.111
SPP1,CD44,Tumor epithelial,B cell,0.0759,1.4617,0.1109
SPP1,CD44,NK cell,B cell,0.0755,1.4617,0.1104
TNF,TNFRSF1A,Unknown,Endothelial,0.2774,0.3849,0.1068
CXCL12,CXCR4,Endothelial,Unknown,0.0569,1.8662,0.1062
SPP1,CD44,Dendritic cell,Endothelial,0.1526,0.6842,0.1044
TGFB1,TGFBR2,Myeloid/Macro,Tumor epithelial,1.1397,0.0916,0.1044
VEGFA,KDR,Fibroblast,Endothelial,0.6013,0.1706,0.1026
CD80,CTLA4,B cell,T cell,0.1868,0.5421,0.1012
SPP1,CD44,Fibroblast,Tumor epithelial,0.1672,0.6047,0.1011
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.1517,0.6641,0.1008
SPP1,CD44,Endothelial,Plasma cell,0.0889,1.129,0.1003
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.0881,0.0916,0.0997
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.6013,0.1648,0.0991
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.1462,0.6641,0.0971
CCL5,CCR5,Unknown,Dendritic cell,0.8071,0.1186,0.0957
SPP1,CD44,Tumor epithelial,Fibroblast,0.0759,1.2495,0.0948
CCL5,CCR5,Endothelial,T cell,1.0562,0.0896,0.0946
SPP1,CD44,NK cell,Fibroblast,0.0755,1.2495,0.0944
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0223,0.0916,0.0937
FAS,FASLG,Dendritic cell,NK cell,0.3602,0.2589,0.0933
SPP1,CD44,Dendritic cell,Tumor epithelial,0.1526,0.6047,0.0923
