ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,T cell,NK cell,0.0488,1.7159,0.0838
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.1258,0.6641,0.0835
VEGFA,FLT1,Mast cell,Dendritic cell,1.1046,0.0751,0.083
CCL5,CCR5,Endothelial,Myeloid/Macro,1.0562,0.0775,0.0819
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.8928,0.0916,0.0818
CXCL12,CXCR4,Endothelial,Dendritic cell,0.0569,1.4265,0.0812
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.152,0.5293,0.0805
CXCL10,CXCR3,Endothelial,NK cell,0.2335,0.3417,0.0798
VEGFA,FLT1,Dendritic cell,Endothelial,0.0895,0.8809,0.0789
CD274,PDCD1,Mast cell,NK cell,0.2372,0.3303,0.0783
IL6,IL6R,Fibroblast,Plasma cell,0.4471,0.174,0.0778
CCL5,CCR5,Endothelial,NK cell,1.0562,0.0733,0.0774
VEGFA,KDR,Tumor epithelial,Endothelial,0.4498,0.1706,0.0767
SPP1,CD44,T cell,Dendritic cell,0.0488,1.5394,0.0752
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.1258,0.5924,0.0745
CCL5,CCR5,Unknown,T cell,0.8071,0.0921,0.0743
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4498,0.1652,0.0743
CXCL10,CXCR3,Endothelial,T cell,0.2335,0.3149,0.0735
CD80,CTLA4,Dendritic cell,Plasma cell,0.5365,0.1364,0.0732
FAS,FASLG,Endothelial,NK cell,0.28,0.2576,0.0722
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0569,1.2691,0.0722
FAS,FASLG,NK cell,NK cell,0.2796,0.2576,0.072
SPP1,CD44,T cell,B cell,0.0488,1.4613,0.0714
SPP1,CD44,Unknown,Endothelial,0.1038,0.6842,0.071
SPP1,CD44,Mast cell,Endothelial,0.1024,0.6842,0.0701
CD80,CTLA4,Myeloid/Macro,T cell,0.1291,0.5394,0.0697
FAS,FASLG,Dendritic cell,NK cell,0.2598,0.2576,0.0669
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.1006,0.6641,0.0668
FAS,FASLG,B cell,NK cell,0.2583,0.2576,0.0666
TNF,TNFRSF1A,Mast cell,Fibroblast,0.1258,0.5293,0.0666
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7099,0.0916,0.0651
CD274,PDCD1,Mast cell,Unknown,0.2372,0.2728,0.0647
CXCL12,CXCR4,Endothelial,Plasma cell,0.0569,1.1087,0.0631
SPP1,CD44,Unknown,Tumor epithelial,0.1038,0.6047,0.0628
CCL5,CCR5,Unknown,Myeloid/Macro,0.8071,0.0775,0.0626
SPP1,CD44,B cell,Mast cell,0.0247,2.5294,0.0625
HGF,MET,Fibroblast,Tumor epithelial,0.2072,0.3018,0.0625
SPP1,CD44,Mast cell,Tumor epithelial,0.1024,0.6047,0.0619
CD274,PDCD1,Endothelial,T cell,0.1159,0.5296,0.0614
SPP1,CD44,T cell,Fibroblast,0.0488,1.2495,0.061
SPP1,CD44,Endothelial,Endothelial,0.0889,0.6842,0.0608
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.1006,0.5924,0.0596
CCL5,CCR5,Unknown,NK cell,0.8071,0.0733,0.0591
FAS,FASLG,Plasma cell,NK cell,0.2273,0.2576,0.0586
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.152,0.3849,0.0585
CCL5,CCR5,NK cell,Unknown,3.395,0.0169,0.0575
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.766,0.0751,0.0575
IL6,IL6R,Fibroblast,Endothelial,0.4471,0.1283,0.0574
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4539,0.1213,0.0551
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6014,0.0916,0.0551
SPP1,CD44,T cell,Plasma cell,0.0488,1.1263,0.055
CD80,CTLA4,B cell,Unknown,0.1873,0.2928,0.0549
CCL5,CCR5,Plasma cell,T cell,0.5908,0.0921,0.0544
SPP1,CD44,Endothelial,Tumor epithelial,0.0889,0.6047,0.0537
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.1006,0.5293,0.0533
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5803,0.0916,0.0532
CXCL12,CXCR4,Endothelial,Endothelial,0.0569,0.9334,0.0531
IL6,IL6R,Unknown,Myeloid/Macro,0.0675,0.7757,0.0524
SPP1,CD44,Tumor epithelial,Endothelial,0.0759,0.6842,0.0519
SPP1,CD44,NK cell,Endothelial,0.0752,0.6842,0.0514
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4539,0.1107,0.0502
IL6,IL6R,Fibroblast,Dendritic cell,0.4471,0.1114,0.0498
FAS,FASLG,Fibroblast,NK cell,0.1933,0.2576,0.0498
CCL2,CCR2,Endothelial,Plasma cell,1.253,0.0388,0.0486
TNF,TNFRSF1A,Mast cell,Endothelial,0.1258,0.3849,0.0484
FAS,FASLG,Unknown,T cell,0.4983,0.097,0.0483
CD80,CTLA4,B cell,NK cell,0.1873,0.2552,0.0478
CCL5,CCR5,Fibroblast,T cell,0.5149,0.0921,0.0474
TNF,TNFRSF1A,B cell,Unknown,0.388,0.1213,0.0471
