ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CXCL12,CXCR4,Myeloid/Macro,NK cell,0.0111,2.0664,0.0229
CD274,PDCD1,Tumor epithelial,NK cell,0.0703,0.3243,0.0228
CXCL10,CXCR3,Tumor epithelial,NK cell,0.0657,0.3473,0.0228
CD274,PDCD1,Mast cell,Dendritic cell,0.2372,0.0959,0.0228
DLL1,NOTCH1,Endothelial,Fibroblast,0.1141,0.1993,0.0227
TNF,TNFRSF1A,Fibroblast,Dendritic cell,0.2258,0.1002,0.0226
IL6,IL6R,B cell,Mast cell,0.0547,0.4018,0.022
IL6,IL6R,Endothelial,Fibroblast,0.2273,0.0968,0.022
VEGFA,FLT1,Mast cell,B cell,1.1046,0.0199,0.022
CD274,PDCD1,Plasma cell,T cell,0.041,0.5294,0.0217
CXCL12,CXCR4,Unknown,T cell,0.0097,2.2232,0.0215
CD274,PDCD1,Myeloid/Macro,NK cell,0.0653,0.3243,0.0212
CXCL12,CXCR4,Unknown,B cell,0.0097,2.1868,0.0212
CXCL12,CXCR4,Myeloid/Macro,Unknown,0.0111,1.8983,0.021
VEGFA,KDR,Endothelial,Endothelial,0.1218,0.1706,0.0208
TNF,TNFRSF1A,Unknown,T cell,0.2774,0.0747,0.0207
CXCL10,CXCR3,Tumor epithelial,T cell,0.0657,0.3147,0.0207
CCL5,CCR5,Myeloid/Macro,Myeloid/Macro,0.2596,0.0774,0.0201
VEGFA,FLT1,Endothelial,Myeloid/Macro,0.1218,0.1648,0.0201
CXCL12,CXCR4,Unknown,NK cell,0.0097,2.0664,0.02
FAS,FASLG,NK cell,Mast cell,0.2848,0.0702,0.02
CCL5,CCR5,Dendritic cell,Myeloid/Macro,0.2558,0.0774,0.0198
FAS,FASLG,Fibroblast,T cell,0.1933,0.1026,0.0198
CD80,CTLA4,Dendritic cell,Mast cell,0.5681,0.0349,0.0198
TNF,TNFRSF1A,Unknown,Plasma cell,0.2774,0.0714,0.0198
FAS,FASLG,Endothelial,Mast cell,0.28,0.0702,0.0197
DLL1,NOTCH1,Endothelial,Mast cell,0.1141,0.1723,0.0197
DLL1,NOTCH1,Endothelial,NK cell,0.1141,0.1712,0.0195
CCL5,CCR5,Mast cell,Myeloid/Macro,0.2509,0.0774,0.0194
CD274,PDCD1,Tumor epithelial,Unknown,0.0703,0.2728,0.0192
CCL5,CCR5,Endothelial,Unknown,1.1298,0.0169,0.0191
CCL5,CCR5,B cell,T cell,0.2044,0.0928,0.019
VEGFA,FLT1,Tumor epithelial,Unknown,0.4476,0.0423,0.0189
FAS,FASLG,Unknown,Plasma cell,0.4843,0.039,0.0189
FAS,FASLG,NK cell,Unknown,0.2848,0.0658,0.0187
CD274,PDCD1,Mast cell,Fibroblast,0.2372,0.0781,0.0185
CXCL12,CXCR4,Mast cell,Dendritic cell,0.0123,1.493,0.0184
FAS,FASLG,Endothelial,Unknown,0.28,0.0658,0.0184
CD274,PDCD1,Dendritic cell,T cell,0.0347,0.5294,0.0184
TNF,TNFRSF1A,Myeloid/Macro,Unknown,0.1517,0.1213,0.0184
CXCL12,CXCR4,Unknown,Unknown,0.0097,1.8983,0.0184
CXCL10,CXCR3,Myeloid/Macro,Dendritic cell,0.0966,0.1898,0.0183
FAS,FASLG,B cell,Mast cell,0.2575,0.0702,0.0181
TNF,TNFRSF1A,Endothelial,Endothelial,0.0471,0.3849,0.0181
VEGFA,FLT1,Myeloid/Macro,Mast cell,0.7644,0.0235,0.0179
CD274,PDCD1,Myeloid/Macro,Unknown,0.0653,0.2728,0.0178
IL6,IL6R,Myeloid/Macro,Mast cell,0.044,0.4018,0.0177
IL6,IL6R,Endothelial,Endothelial,0.2273,0.0775,0.0176
SPP1,CD44,B cell,Endothelial,0.0246,0.7159,0.0176
CD80,CTLA4,Myeloid/Macro,Plasma cell,0.1289,0.1364,0.0176
VEGFA,KDR,Tumor epithelial,Tumor epithelial,0.4476,0.039,0.0174
FAS,FASLG,Unknown,Endothelial,0.4843,0.0359,0.0174
IL6,IL6R,Endothelial,Unknown,0.2273,0.0767,0.0174
CD80,CTLA4,T cell,T cell,0.0323,0.5326,0.0172
FAS,FASLG,T cell,Plasma cell,0.4422,0.039,0.0172
CD274,PDCD1,Endothelial,Plasma cell,0.1159,0.1477,0.0171
TNF,TNFRSF1A,Fibroblast,T cell,0.2258,0.0747,0.0169
CXCL10,CXCR3,Fibroblast,Dendritic cell,0.089,0.1898,0.0169
FAS,FASLG,B cell,Unknown,0.2575,0.0658,0.0169
CCL5,CCR5,T cell,Fibroblast,2.01,0.0083,0.0168
DLL1,NOTCH1,Endothelial,T cell,0.1141,0.1467,0.0167
DLL1,NOTCH1,Endothelial,B cell,0.1141,0.1462,0.0167
