ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.579,0.1648,0.0954
CCL5,CCR5,Endothelial,T cell,1.0562,0.0897,0.0947
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0175,0.0916,0.0932
FAS,FASLG,Dendritic cell,NK cell,0.3602,0.2576,0.0928
SPP1,CD44,Dendritic cell,Tumor epithelial,0.1526,0.6047,0.0923
IL6,IL6R,Endothelial,Mast cell,0.2273,0.4018,0.0914
SPP1,CD44,T cell,Myeloid/Macro,0.049,1.8373,0.09
CD80,CTLA4,Dendritic cell,Endothelial,0.5681,0.1583,0.0899
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.1517,0.5912,0.0897
SPP1,CD44,T cell,Unknown,0.049,1.8285,0.0895
VEGFA,FLT1,Mast cell,Dendritic cell,1.1046,0.0795,0.0879
SPP1,CD44,T cell,T cell,0.049,1.7706,0.0867
TGFB1,TGFBR2,B cell,Tumor epithelial,0.9361,0.0916,0.0858
SPP1,CD44,Tumor epithelial,Plasma cell,0.0759,1.1263,0.0855
CXCL12,CXCR4,Endothelial,Dendritic cell,0.0569,1.493,0.085
SPP1,CD44,NK cell,Plasma cell,0.0752,1.1263,0.0846
SPP1,CD44,T cell,NK cell,0.049,1.7159,0.084
TNF,TNFRSF1A,Fibroblast,Endothelial,0.2174,0.3849,0.0837
VEGFA,FLT1,Dendritic cell,Endothelial,0.0948,0.8809,0.0835
TNF,TNFRSF1A,Mast cell,Tumor epithelial,0.1258,0.6641,0.0835
PDGFA,PDGFRA,Fibroblast,Fibroblast,0.339,0.2436,0.0826
TGFB1,TGFBR2,Plasma cell,Tumor epithelial,0.8928,0.0916,0.0818
CCL5,CCR5,Endothelial,Myeloid/Macro,1.0562,0.0774,0.0817
CXCL10,CXCR3,Endothelial,NK cell,0.2335,0.3417,0.0798
CD274,PDCD1,Mast cell,NK cell,0.2372,0.3303,0.0783
CD80,CTLA4,Dendritic cell,Plasma cell,0.5681,0.1364,0.0775
CCL5,CCR5,Endothelial,NK cell,1.0562,0.0733,0.0774
TNF,TNFRSF1A,Myeloid/Macro,Fibroblast,0.1517,0.5097,0.0773
VEGFA,KDR,Tumor epithelial,Endothelial,0.4498,0.1706,0.0767
SPP1,CD44,T cell,Dendritic cell,0.049,1.5537,0.0761
IL6,IL6R,Fibroblast,Plasma cell,0.4306,0.174,0.0749
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.1258,0.5912,0.0743
VEGFA,FLT1,Tumor epithelial,Myeloid/Macro,0.4498,0.1648,0.0741
CXCL10,CXCR3,Endothelial,T cell,0.2335,0.3157,0.0737
CCL5,CCR5,Unknown,T cell,0.8071,0.0897,0.0724
FAS,FASLG,Endothelial,NK cell,0.28,0.2576,0.0722
CXCL12,CXCR4,Endothelial,Myeloid/Macro,0.0569,1.2666,0.0721
FAS,FASLG,NK cell,NK cell,0.2796,0.2576,0.072
SPP1,CD44,T cell,B cell,0.049,1.4617,0.0716
SPP1,CD44,Unknown,Endothelial,0.1038,0.6842,0.071
SPP1,CD44,Mast cell,Endothelial,0.1024,0.6842,0.0701
CCL5,CCR5,Plasma cell,Dendritic cell,0.5908,0.1186,0.07
CD80,CTLA4,Myeloid/Macro,T cell,0.1289,0.5408,0.0697
TGFB1,TGFBR2,Dendritic cell,Tumor epithelial,0.7559,0.0916,0.0693
TNF,TNFRSF1A,Plasma cell,Tumor epithelial,0.1006,0.6641,0.0668
FAS,FASLG,B cell,NK cell,0.2575,0.2576,0.0663
CD274,PDCD1,Mast cell,Unknown,0.2372,0.2728,0.0647
TNF,TNFRSF1A,Mast cell,Fibroblast,0.1258,0.5097,0.0641
CXCL12,CXCR4,Endothelial,Plasma cell,0.0569,1.1087,0.0631
SPP1,CD44,T cell,Fibroblast,0.049,1.2843,0.0629
SPP1,CD44,Unknown,Tumor epithelial,0.1038,0.6047,0.0628
CCL5,CCR5,Unknown,Myeloid/Macro,0.8071,0.0774,0.0625
SPP1,CD44,B cell,Mast cell,0.0246,2.5294,0.0623
SPP1,CD44,Mast cell,Tumor epithelial,0.1024,0.6047,0.0619
CD274,PDCD1,Endothelial,T cell,0.1159,0.531,0.0616
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7644,0.0795,0.0608
SPP1,CD44,Endothelial,Endothelial,0.0889,0.6842,0.0608
HGF,MET,Fibroblast,Tumor epithelial,0.1995,0.3018,0.0602
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.1006,0.5912,0.0595
CCL5,CCR5,Unknown,NK cell,0.8071,0.0733,0.0591
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.644,0.0916,0.059
CCL5,CCR5,Fibroblast,Dendritic cell,0.4959,0.1186,0.0588
FAS,FASLG,Plasma cell,NK cell,0.2273,0.2576,0.0586
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1517,0.3849,0.0584
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4806,0.1213,0.0583
CCL5,CCR5,NK cell,Unknown,3.395,0.0169,0.0575
IL6,IL6R,Fibroblast,Fibroblast,0.4306,0.1284,0.0553
IL6,IL6R,Fibroblast,Endothelial,0.4306,0.1283,0.0552
SPP1,CD44,T cell,Plasma cell,0.049,1.1263,0.0551
CD80,CTLA4,B cell,Unknown,0.1868,0.2928,0.0547
SPP1,CD44,Endothelial,Tumor epithelial,0.0889,0.6047,0.0537
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5803,0.0916,0.0532
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4806,0.1107,0.0532
CXCL12,CXCR4,Endothelial,Endothelial,0.0569,0.9334,0.0531
CCL5,CCR5,Plasma cell,T cell,0.5908,0.0897,0.053
IL6,IL6R,Unknown,Myeloid/Macro,0.0675,0.7741,0.0523
SPP1,CD44,Tumor epithelial,Endothelial,0.0759,0.6842,0.0519
SPP1,CD44,NK cell,Endothelial,0.0752,0.6842,0.0514
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.1006,0.5097,0.0513
IL6,IL6R,Fibroblast,Dendritic cell,0.4306,0.118,0.0508
CCL2,CCR2,Endothelial,Plasma cell,1.253,0.0388,0.0486
FAS,FASLG,Unknown,T cell,0.4983,0.0972,0.0485
TNF,TNFRSF1A,Mast cell,Endothelial,0.1258,0.3849,0.0484
