ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TNF,TNFRSF1A,Unknown,Unknown,0.276,0.121,0.0334
CD274,PDCD1,Endothelial,Unknown,0.1186,0.2793,0.0331
VEGFA,FLT1,Plasma cell,Myeloid/Macro,0.2005,0.1648,0.0331
CD80,CTLA4,Dendritic cell,Myeloid/Macro,0.6036,0.054,0.0326
CD274,PDCD1,Mast cell,Plasma cell,0.2372,0.1359,0.0322
IL6,IL6R,Endothelial,Fibroblast,0.2326,0.138,0.0321
CD80,CTLA4,Myeloid/Macro,NK cell,0.1289,0.2459,0.0317
TNF,TNFRSF1A,Endothelial,Tumor epithelial,0.0482,0.6576,0.0317
CCL5,CCR5,Fibroblast,Myeloid/Macro,0.4092,0.0774,0.0317
VEGFA,FLT1,Mast cell,Unknown,1.1046,0.0285,0.0314
DLL1,NOTCH1,Endothelial,Endothelial,0.1167,0.2671,0.0312
CCL5,CCR5,T cell,Unknown,2.0187,0.0154,0.0312
FAS,FASLG,T cell,Mast cell,0.4437,0.0702,0.0311
DLL1,NOTCH1,Endothelial,Unknown,0.1167,0.2668,0.0311
CXCL10,CXCR3,Plasma cell,NK cell,0.088,0.3515,0.0309
IL6,IL6R,Fibroblast,Tumor epithelial,0.4306,0.0713,0.0307
CXCL10,CXCR3,Endothelial,B cell,0.2389,0.1281,0.0306
CD80,CTLA4,Dendritic cell,Mast cell,0.6036,0.0508,0.0306
CXCL10,CXCR3,Myeloid/Macro,T cell,0.0966,0.3155,0.0305
IL6,IL6R,Endothelial,Endothelial,0.2326,0.1313,0.0305
TNF,TNFRSF1A,B cell,T cell,0.3905,0.078,0.0304
CD80,CTLA4,B cell,Endothelial,0.1857,0.162,0.0301
CXCL10,CXCR3,Fibroblast,NK cell,0.0857,0.3515,0.0301
SPP1,CD44,T cell,Tumor epithelial,0.0492,0.6114,0.0301
FAS,FASLG,Dendritic cell,T cell,0.2923,0.1019,0.0298
CXCL12,CXCR4,Fibroblast,Tumor epithelial,0.2949,0.1006,0.0297
VEGFA,KDR,Myeloid/Macro,Tumor epithelial,0.7644,0.0388,0.0296
TNF,TNFRSF1A,Unknown,Dendritic cell,0.276,0.1065,0.0294
FAS,FASLG,Endothelial,T cell,0.2866,0.1019,0.0292
