ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CXCL10,CXCR3,Endothelial,Dendritic cell,0.2389,0.1613,0.0385
TNF,TNFRSF1A,Mast cell,Endothelial,0.097,0.3939,0.0382
CD274,PDCD1,Tumor epithelial,T cell,0.0703,0.5392,0.0379
VEGFA,KDR,Plasma cell,Endothelial,0.2116,0.1746,0.0369
CD80,CTLA4,Myeloid/Macro,NK cell,0.1294,0.2844,0.0368
SPP1,CD44,B cell,Fibroblast,0.0285,1.2899,0.0367
TNF,TNFRSF1A,T cell,NK cell,0.33,0.1103,0.0364
CD274,PDCD1,Endothelial,NK cell,0.1186,0.3047,0.0361
CDH1,CDH1,Plasma cell,Tumor epithelial,0.0646,0.5585,0.0361
CDH1,CDH1,Tumor epithelial,Plasma cell,0.5585,0.0646,0.0361
TNF,TNFRSF1A,Plasma cell,Endothelial,0.0914,0.3939,0.036
CD274,PDCD1,Myeloid/Macro,T cell,0.0664,0.5392,0.0358
CDH1,CDH1,Tumor epithelial,Fibroblast,0.5585,0.064,0.0358
CDH1,CDH1,Fibroblast,Tumor epithelial,0.064,0.5585,0.0358
TNF,TNFRSF1A,Unknown,Unknown,0.2929,0.1201,0.0352
VEGFA,FLT1,Plasma cell,Myeloid/Macro,0.2116,0.1655,0.035
DLL1,NOTCH1,Endothelial,Unknown,0.1167,0.2982,0.0348
TNF,TNFRSF1A,Dendritic cell,Dendritic cell,0.4085,0.0852,0.0348
IL6,IL6R,Myeloid/Macro,Myeloid/Macro,0.0442,0.7763,0.0343
CD80,CTLA4,Myeloid/Macro,Unknown,0.1294,0.2608,0.0338
SPP1,CD44,T cell,Endothelial,0.0481,0.7001,0.0337
TNF,TNFRSF1A,B cell,Dendritic cell,0.3957,0.0852,0.0337
TNF,TNFRSF1A,NK cell,Dendritic cell,0.3859,0.0852,0.0329
CD274,PDCD1,Endothelial,Unknown,0.1186,0.2765,0.0328
CXCL10,CXCR3,Endothelial,Plasma cell,0.2389,0.1371,0.0328
IL6,IL6R,Fibroblast,Unknown,0.4306,0.076,0.0327
TNF,TNFRSF1A,Unknown,NK cell,0.2929,0.1103,0.0323
VEGFA,FLT1,Myeloid/Macro,Unknown,0.7707,0.0419,0.0323
IL6,IL6R,Endothelial,Fibroblast,0.2326,0.138,0.0321
TNF,TNFRSF1A,Endothelial,Tumor epithelial,0.0482,0.6608,0.0318
CXCL10,CXCR3,Myeloid/Macro,T cell,0.0969,0.3234,0.0314
DLL1,NOTCH1,Endothelial,Endothelial,0.1167,0.2671,0.0312
CXCL10,CXCR3,Myeloid/Macro,NK cell,0.0969,0.3207,0.0311
IL6,IL6R,Fibroblast,Tumor epithelial,0.4306,0.0717,0.0309
TNF,TNFRSF1A,Dendritic cell,T cell,0.4085,0.0749,0.0306
CD80,CTLA4,B cell,Endothelial,0.1885,0.162,0.0305
IL6,IL6R,Endothelial,Endothelial,0.2326,0.1313,0.0305
CXCL10,CXCR3,Endothelial,B cell,0.2389,0.1268,0.0303
VEGFA,FLT1,Tumor epithelial,Dendritic cell,0.4476,0.0676,0.0303
VEGFA,KDR,Myeloid/Macro,Tumor epithelial,0.7707,0.039,0.03
CXCL10,CXCR3,Plasma cell,T cell,0.0928,0.3234,0.03
CXCL10,CXCR3,Plasma cell,NK cell,0.0928,0.3207,0.0298
TNF,TNFRSF1A,B cell,T cell,0.3957,0.0749,0.0296
VEGFA,FLT1,Unknown,Endothelial,0.0327,0.9014,0.0295
SPP1,CD44,T cell,Tumor epithelial,0.0481,0.6018,0.0289
TNF,TNFRSF1A,NK cell,T cell,0.3859,0.0749,0.0289
TNF,TNFRSF1A,Endothelial,Myeloid/Macro,0.0482,0.5927,0.0286
SPP1,CD44,B cell,Plasma cell,0.0285,1.003,0.0285
CXCL10,CXCR3,Endothelial,Unknown,0.2389,0.1191,0.0284
VEGFA,KDR,Endothelial,Endothelial,0.1629,0.1746,0.0284
TNF,TNFRSF1A,T cell,Dendritic cell,0.33,0.0852,0.0281
CXCL10,CXCR3,Fibroblast,T cell,0.0857,0.3234,0.0277
CXCL10,CXCR3,Fibroblast,NK cell,0.0857,0.3207,0.0275
CD80,CTLA4,Endothelial,T cell,0.0513,0.5365,0.0275
IL6,IL6R,Unknown,Mast cell,0.0669,0.4062,0.0272
VEGFA,FLT1,Endothelial,Myeloid/Macro,0.1629,0.1655,0.027
CD80,CTLA4,Dendritic cell,Myeloid/Macro,0.4829,0.055,0.0266
VEGFA,FLT1,Mast cell,Mast cell,1.1166,0.0237,0.0265
TNF,TNFRSF1A,Fibroblast,Unknown,0.2174,0.1201,0.0261
CD274,PDCD1,T cell,T cell,0.0478,0.5392,0.0258
IL6,IL6R,Plasma cell,Myeloid/Macro,0.0331,0.7763,0.0257
TNF,TNFRSF1A,Unknown,Dendritic cell,0.2929,0.0852,0.025
TNF,TNFRSF1A,T cell,T cell,0.33,0.0749,0.0247
CD80,CTLA4,Unknown,T cell,0.046,0.5365,0.0247
TNF,TNFRSF1A,Endothelial,Fibroblast,0.0482,0.5097,0.0246
TNF,TNFRSF1A,Dendritic cell,Plasma cell,0.4085,0.0597,0.0244
CD274,PDCD1,Mast cell,Endothelial,0.2397,0.1018,0.0244
VEGFA,FLT1,Fibroblast,Unknown,0.579,0.0419,0.0243
CD274,PDCD1,Plasma cell,T cell,0.0446,0.5392,0.024
TNF,TNFRSF1A,Fibroblast,NK cell,0.2174,0.1103,0.024
VEGFA,FLT1,Mast cell,Tumor epithelial,1.1166,0.0213,0.0237
TNF,TNFRSF1A,B cell,Plasma cell,0.3957,0.0597,0.0236
IL6,IL6R,Endothelial,Dendritic cell,0.2326,0.1003,0.0233
IL6,IL6R,Tumor epithelial,Myeloid/Macro,0.0299,0.7763,0.0232
TNF,TNFRSF1A,NK cell,Plasma cell,0.3859,0.0597,0.023
VEGFA,KDR,Fibroblast,Tumor epithelial,0.579,0.039,0.0226
VEGFA,FLT1,Mast cell,B cell,1.1166,0.0201,0.0225
IL6,IL6R,Fibroblast,T cell,0.4306,0.0519,0.0224
DLL1,NOTCH1,Endothelial,Fibroblast,0.1167,0.192,0.0224
IL6,IL6R,B cell,Mast cell,0.0552,0.4062,0.0224
DLL1,NOTCH1,Endothelial,NK cell,0.1167,0.1893,0.0221
TNF,TNFRSF1A,Unknown,T cell,0.2929,0.0749,0.0219
CD274,PDCD1,Tumor epithelial,NK cell,0.0703,0.3047,0.0214
CXCL10,CXCR3,Tumor epithelial,T cell,0.0657,0.3234,0.0212
CXCL10,CXCR3,Tumor epithelial,NK cell,0.0657,0.3207,0.0211
CD80,CTLA4,Myeloid/Macro,Endothelial,0.1294,0.162,0.021
DLL1,NOTCH1,Endothelial,Mast cell,0.1167,0.1741,0.0203
CD274,PDCD1,Myeloid/Macro,NK cell,0.0664,0.3047,0.0202
SPP1,CD44,B cell,Endothelial,0.0285,0.7001,0.0199
CD274,PDCD1,Mast cell,Plasma cell,0.2397,0.083,0.0199
TNF,TNFRSF1A,T cell,Plasma cell,0.33,0.0597,0.0197
CD274,PDCD1,Mast cell,Dendritic cell,0.2397,0.0816,0.0196
CD274,PDCD1,Tumor epithelial,Unknown,0.0703,0.2765,0.0195
TNF,TNFRSF1A,Endothelial,Endothelial,0.0482,0.3939,0.019
CXCL10,CXCR3,Myeloid/Macro,Fibroblast,0.0969,0.1955,0.019
DLL1,NOTCH1,Myeloid/Macro,Unknown,0.063,0.2982,0.0188
VEGFA,FLT1,Tumor epithelial,Unknown,0.4476,0.0419,0.0188
TNF,TNFRSF1A,Fibroblast,Dendritic cell,0.2174,0.0852,0.0185
CD274,PDCD1,Myeloid/Macro,Unknown,0.0664,0.2765,0.0184
VEGFA,FLT1,Myeloid/Macro,Mast cell,0.7707,0.0237,0.0183
TNF,TNFRSF1A,Myeloid/Macro,Unknown,0.1523,0.1201,0.0183
CXCL10,CXCR3,Plasma cell,Fibroblast,0.0928,0.1955,0.0181
CD274,PDCD1,Mast cell,Fibroblast,0.2397,0.0752,0.018
IL6,IL6R,Myeloid/Macro,Mast cell,0.0442,0.4062,0.0179
IL6,IL6R,Endothelial,Unknown,0.2326,0.076,0.0177
TNF,TNFRSF1A,Unknown,Plasma cell,0.2929,0.0597,0.0175
VEGFA,KDR,Tumor epithelial,Tumor epithelial,0.4476,0.039,0.0174
CD80,CTLA4,T cell,T cell,0.0322,0.5365,0.0173
DLL1,NOTCH1,Endothelial,B cell,0.1167,0.1476,0.0172
SPP1,CD44,B cell,Tumor epithelial,0.0285,0.6018,0.0171
CD80,CTLA4,Dendritic cell,Mast cell,0.4829,0.0353,0.017
CXCL10,CXCR3,Fibroblast,Fibroblast,0.0857,0.1955,0.0168
TNF,TNFRSF1A,Myeloid/Macro,NK cell,0.1523,0.1103,0.0168
DLL1,NOTCH1,Myeloid/Macro,Endothelial,0.063,0.2671,0.0168
