ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CXCL12,CXCR4,Myeloid/Macro,T cell,0.0111,2.2198,0.0245
IL6,IL6R,Fibroblast,T cell,0.4471,0.0544,0.0243
CXCL12,CXCR4,Myeloid/Macro,B cell,0.0111,2.1868,0.0242
FAS,FASLG,Dendritic cell,Unknown,0.3602,0.0671,0.0242
TNF,TNFRSF1A,T cell,T cell,0.3285,0.0736,0.0242
CCL5,CCR5,B cell,Dendritic cell,0.2044,0.1186,0.0242
CD274,PDCD1,Mast cell,Endothelial,0.2372,0.0995,0.0236
VEGFA,FLT1,Mast cell,Tumor epithelial,1.1046,0.0213,0.0235
VEGFA,KDR,Fibroblast,Tumor epithelial,0.6013,0.039,0.0234
CXCL12,CXCR4,Mast cell,Unknown,0.0123,1.9028,0.0234
FAS,FASLG,Plasma cell,T cell,0.2401,0.0972,0.0233
CCL5,CCR5,Myeloid/Macro,T cell,0.2596,0.0897,0.0233
CXCL12,CXCR4,Myeloid/Macro,NK cell,0.0111,2.097,0.0232
CD274,PDCD1,Tumor epithelial,NK cell,0.0703,0.3303,0.0232
IL6,IL6R,Tumor epithelial,Myeloid/Macro,0.0299,0.7741,0.0231
CCL5,CCR5,Dendritic cell,T cell,0.2558,0.0897,0.0229
CD274,PDCD1,Mast cell,Dendritic cell,0.2372,0.0959,0.0228
DLL1,NOTCH1,Endothelial,Fibroblast,0.1141,0.1993,0.0227
TNF,TNFRSF1A,Fibroblast,Dendritic cell,0.2258,0.1002,0.0226
TNF,TNFRSF1A,Unknown,Plasma cell,0.2829,0.08,0.0226
CCL5,CCR5,Mast cell,T cell,0.2509,0.0897,0.0225
CXCL10,CXCR3,Tumor epithelial,NK cell,0.0657,0.3417,0.0224
IL6,IL6R,Plasma cell,Mast cell,0.0553,0.4018,0.0222
CXCL12,CXCR4,Plasma cell,T cell,0.01,2.2198,0.0221
CD80,CTLA4,B cell,Plasma cell,0.1868,0.1184,0.0221
IL6,IL6R,B cell,Mast cell,0.0547,0.4018,0.022
IL6,IL6R,Endothelial,Fibroblast,0.2273,0.0968,0.022
VEGFA,FLT1,Mast cell,B cell,1.1046,0.0199,0.022
CXCL12,CXCR4,Plasma cell,B cell,0.01,2.1868,0.0218
CD274,PDCD1,Myeloid/Macro,NK cell,0.0653,0.3303,0.0216
CD274,PDCD1,Plasma cell,T cell,0.0402,0.5288,0.0212
CXCL12,CXCR4,Myeloid/Macro,Unknown,0.0111,1.9028,0.021
CXCL12,CXCR4,Plasma cell,NK cell,0.01,2.097,0.0209
